(2) {'3S', 'AC', '7D', '2S', '5D'} won by high card A
(1) {'TD', '4D', '8H', '4S', '9C'} won by pair
(2) {'KD', '9D', '5C', '2C', '9C'} won by a higher pair K
(2) {'QS', 'QD', '4S', '8D', 'JC'} won by a higher pair A
(2) {'9D', 'AS', '5D', 'JS', 'JC'} won by pair
(2) {'6C', 'QC', 'QD', '9S', 'JC'} won by a higher pair Q
(1) {'JH', 'QS', 'JC', '6S', '2C'} won by pair
(2) {'KC', '2H', '2S', 'JS', '2C'} won by three
(2) {'JH', 'KS', 'AC', 'JS', '7H'} won by a higher pair A
(2) {'9D', 'AD', 'AS', '7D', '5C'} won by a higher pair A
(2) {'3S', '3H', '4C', 'AC', '8H'} won by pair
(1) {'KD', '5H', 'JD', '8H', 'JC'} won by pair
(2) {'8S', '5H', '5S', 'JD', '6D'} won by pair
(2) {'TH', '5D', '5C', '8C', '9C'} won by pair
(2) {'7S', 'AS', 'KS', '6S', '2C'} won by high card A
(1) {'TC', 'QS', 'QD', 'JC', '8C'} won by pair
(2) {'KS', '2H', '4D', '8D', 'JC'} won by high card K
(1) {'KD', 'KH', '5S', '9H', '9C'} won by 2 pair
(1) {'TC', '5H', 'AS', '4D', '8C'} won by high card A
(2) {'6C', '5H', '5S', '4S', '6D'} won by 2 pair
(2) {'3C', 'JS', '9S', '9H', '6D'} won by pair
(2) {'7C', '5D', '9S', 'AH', '9C'} won by pair
(2) {'9D', 'AS', 'KS', 'QD', '9H'} won by pair
(2) {'8S', 'AD', 'AS', '5S', 'AH'} won by three
(2) {'3H', '5H', 'KS', 'AC', 'JC'} won by high card A
(2) {'5H', '5S', 'QH', '6H', '6D'} won by 2 pair
(1) {'7D', 'KC', '2H', 'QH', 'AH'} won by high card A
(1) {'6C', '3H', '8S', 'KS', '6D'} won by a higher pair K
(1) {'9D', '4D', '4S', '9H', '6S'} won by 2 pair
(2) {'KD', 'JH', '3C', 'QD', '8C'} won by high card K
(2) {'AD', '3C', 'AS', '6S', 'AH'} won by three
(2) {'8S', '5D', '5C', 'AH', '6D'} won by pair
(1) {'7C', 'AD', 'TD', 'JC', 'TS'} won by pair
(1) {'5S', '4D', '5D', '8H', '4H'} won by 2 pair
(2) {'KD', '8S', '7D', '8H', '5C'} won by pair
(1) {'TD', 'AS', 'AC', '8C', '3D'} won by pair
(2) {'KD', 'TC', 'AS', 'KC', 'JD'} won by pair
(2) {'AD', '2D', 'AS', '2H', '3D'} won by 2 pair
(2) {'KC', '9S', '9H', '6H', '2C'} won by pair
(2) {'TC', '3H', '8H', '8D', '9H'} won by pair
(1) {'KD', 'TD', '2H', '6H', '2C'} won by pair
(1) {'7C', 'KD', '7S', '3C', 'AS'} won by pair
(2) {'AD', 'TD', 'QC', '9S', 'TS'} won by pair
(1) {'7C', 'TC', '8C', '2H', 'TS'} won by pair
(2) {'3H', 'TD', 'TH', '8H', '6D'} won by pair
(1) {'9D', 'TD', 'QC', '5D', '9H'} won by a higher pair K
(2) {'TC', 'TH', 'KC', '7D', '8H'} won by pair
(2) {'5H', 'KH', 'KC', '6H', 'AH'} won by pair
(2) {'6C', 'JD', '8D', '6H', '8C'} won by 2 pair
(2) {'AD', '2S', '4H', 'JC', '9H'} won by high card A
(1) {'KD', 'TD', '7D', 'JS', '6S'} won by high card K
(2) {'5S', 'QC', '4H', '9S', '9C'} won by pair
(1) {'KD', 'JS', '9S', '9H', '2C'} won by pair
(1) {'AD', '5H', 'AS', '2H', '5D'} won by 2 pair
(2) {'KD', 'AD', '2C', 'TS', '9C'} won by high card A
(1) {'JH', '5H', 'QD', 'JS', '7H'} won by pair
(2) {'7C', 'AD', '2D', 'AC', '4H'} won by a higher pair A
(2) {'AH', 'JD', '4H', 'JC', '2C'} won by pair
(2) {'AS', 'AC', '5D', '2C', 'AH'} won by three
(2) {'4C', '7D', '4H', 'AH', '7H'} won by 2 pair
(2) {'5H', '3C', '4H', '7H', '3D'} won by pair
(2) {'3S', '3H', '2H', '6S', '3D'} won by three
(2) {'TC', '6C', 'JS', '6S', '9C'} won by a higher pair A
(1) {'KD', 'AC', 'QD', 'QH', '6D'} won by pair
(2) {'3H', '5H', 'QC', '4S', '9S'} won by high card Q
(2) {'3S', '8S', '5H', '4D', '4S'} won by pair
(1) {'KD', 'TC', '7S', '4S', '9S'} won by high card K
(2) {'KD', 'KS', '2H', '4D', '6H'} won by a higher pair K
(2) {'6C', '8S', '2D', '8H', '4S'} won by a higher pair K
(1) {'6C', 'TC', 'QS', 'QD', '6H'} won by 2 pair
(2) {'TC', '5D', 'JS', '8H', 'TS'} won by a higher pair J
(2) {'5H', 'AS', '8H', '6S', '2C'} won by high card A
(1) {'9D', 'JS', '6S', '5C', '9C'} won by pair
(1) {'7C', '6C', '8S', '4D', '8D'} won by pair
(2) {'7S', '9S', '6H', '2C', '9C'} won by pair
(2) {'KH', '7D', '9S', '9H', '6H'} won by pair
(2) {'3S', 'KD', 'AC', '2H', '5C'} won by high card A
(1) {'7C', '4C', 'AS', 'JS', '9S'} won by high card A
(2) {'AD', 'KS', '5S', '4S', '9S'} won by high card A
(1) {'4C', 'AS', '7D', '2C', '3D'} won by high card A
(1) {'8S', '5H', 'AC', '2S', '3D'} won by high card A
(1) {'7S', 'TH', 'QD', 'TS', '3D'} won by pair
(1) {'TC', 'AD', 'QS', 'QD', '9C'} won by a higher pair A
(2) {'8S', '2D', 'KC', 'JD', '8D'} won by pair
(2) {'7S', 'KH', '7D', '8D', '9C'} won by pair
(2) {'KD', 'QD', '2S', '4H', 'TS'} won by high card K
(2) {'3S', 'TC', '3H', '8S', 'KH'} won by pair
(2) {'KD', 'JH', 'JD', '5C', 'AH'} won by pair
(1) {'6C', '5H', 'JH', '2H', '5C'} won by pair
(2) {'TC', 'KH', 'QD', '8D', '9C'} won by high card K
(2) {'7C', '5H', 'AS', 'JC', '9H'} won by high card A
(2) {'6C', '4C', 'KC', '6S', '5C'} won by pair
(2) {'7C', '4C', 'AS', '9S', '9C'} won by pair
(2) {'KD', 'JH', 'QS', 'QH', '2C'} won by a higher pair A
(1) {'9D', 'AC', '2H', 'AH', '8C'} won by pair
(1) {'QS', '5S', 'QC', 'QD', '9H'} won by three
(1) {'3S', '6C', '3H', '5H', '6S'} won by 2 pair
(2) {'3S', '6C', 'TC', 'KC', '3D'} won by pair
(2) {'3S', 'TC', '8S', '3H', '5H'} won by pair
(2) {'3C', 'AC', 'QC', '8D', 'AH'} won by a higher pair A
(2) {'JH', '2D', 'AS', 'QD', '8C'} won by high card A
(2) {'JH', '4H', 'JC', '9H', '6S'} won by a higher pair J
(1) {'AD', '5S', '9S', '6H', 'AH'} won by pair
(2) {'AD', '5S', 'KC', '4S', '9C'} won by high card A
(1) {'9D', 'TC', '4C', '4D', '6H'} won by pair
(2) {'8S', 'AD', 'QS', 'TH', 'JD'} won by high card A
(1) {'3S', '7S', 'AS', '4S', 'AH'} won by pair
(2) {'9D', '5H', '5C', 'TS', '9C'} won by 2 pair
(2) {'KH', '5D', 'JS', '6H', '2C'} won by high card K
(1) {'2D', 'TH', 'JD', 'JS', 'JC'} won by three
(1) {'9D', '7S', 'KH', '5S', '5D'} won by pair
(2) {'7C', 'AD', 'AS', 'AH', '9C'} won by three
(2) {'3C', 'AS', 'QC', '4S', 'AH'} won by a higher pair A
(2) {'7C', '3H', 'JH', '3C', 'KH'} won by pair
(2) {'4C', 'KC', '2S', '4D', '7H'} won by pair
(2) {'TC', '6C', 'AD', 'JC', '6S'} won by a higher pair A
(2) {'8S', '3C', 'AC', '8H', 'TS'} won by pair
(1) {'3C', 'QS', 'TH', 'QD', 'TS'} won by 2 pair
(2) {'AD', '7S', 'AC', '7D', 'TS'} won by 2 pair
(1) {'7C', '4S', 'AH', '7H', '6D'} won by pair
(2) {'QS', '2H', '5C', '2C', 'TS'} won by pair
(2) {'3C', 'JS', 'JC', '6S', 'AH'} won by pair
(2) {'9D', 'TD', 'KH', 'JD', 'JC'} won by pair
(2) {'5H', '7S', 'AC', '8H', '5C'} won by pair
(1) {'2D', 'AC', 'QC', '2S', 'QD'} won by 2 pair
(2) {'3S', '8S', 'AS', '6H', '8C'} won by pair
(2) {'3H', 'QS', '5S', 'QH', 'JC'} won by a higher pair K
(2) {'7C', '6C', 'AC', '5C', 'AH'} won by pair
(1) {'TD', 'JD', '8D', '9H', 'AH'} won by high card A
(2) {'TD', '5S', 'KS', '5D', '4S'} won by pair
(2) {'7C', 'AD', '2D', '4C', '5C'} won by high card A
(2) {'6C', 'TH', '2S', '5D', '6S'} won by pair
(2) {'7C', 'AS', 'QC', '4H', '3D'} won by high card A
(2) {'QS', 'TH', '2S', 'QD', '5C'} won by pair
(2) {'7C', 'KC', '7D', '6S', '5C'} won by pair
(1) {'KD', 'KH', '4D', 'AH', '7H'} won by pair
(2) {'6C', '5S', '4D', '4H', '8C'} won by pair
(2) {'3S', '9D', 'AD', 'AS', '8D'} won by a higher pair A
(1) {'TC', '5S', '5D', '6H', '6D'} won by 2 pair
(2) {'7C', 'AD', '2D', 'KS', '7D'} won by pair
(1) {'AC', 'KC', 'QD', 'QH', 'JC'} won by a higher pair A
(1) {'8S', '5H', 'JS', 'AH', '3D'} won by high card A
(1) {'AS', 'QS', '7D', '4S', '9H'} won by high card A
(2) {'6C', '8S', 'QH', '9H', '3D'} won by high card Q
(2) {'KD', 'KS', 'JD', '5C', '9C'} won by a higher pair K
(2) {'6C', '8S', 'TC', 'KC', '5C'} won by high card K
(1) {'KS', '5S', 'AC', '4S', '3D'} won by high card A
(1) {'7S', '8H', '9S', '6S', 'TS'} won by straight
(2) {'JH', '7S', '7D', '5D', '3D'} won by pair
(1) {'9D', '8S', '7S', 'AC', 'QC'} won by high card A
(2) {'7C', '5H', 'KS', 'QC', 'AH'} won by high card A
(2) {'TC', 'AS', 'KC', '8H', '6H'} won by high card A
(1) {'7C', 'TC', 'TD', 'KH', '6S'} won by pair
(1) {'TC', '3H', '4C', 'TH', '4H'} won by 2 pair
(2) {'8S', 'KC', '4D', 'QH', '3D'} won by high card K
(1) {'3S', '3H', 'AD', '6S', '7H'} won by pair
(2) {'6C', '2D', 'QS', 'QD', '9C'} won by pair
(1) {'5H', 'KC', '4D', 'QH', '4S'} won by pair
(2) {'KH', '5S', 'KC', 'JC', '9H'} won by pair
(2) {'7S', 'KS', 'KC', 'QD', '9C'} won by pair
(1) {'6C', 'TH', 'QC', '6S', 'TS'} won by 2 pair
(2) {'9D', 'QD', '9S', 'JC', '6D'} won by a higher pair K
(2) {'6C', 'KH', 'KS', '6S', '6H'} won by full house
(2) {'KH', 'AS', 'QD', '6S', '6H'} won by pair
(2) {'5H', 'KH', 'TH', '2S', '5C'} won by pair
(2) {'2D', 'KH', 'JS', '4S', '8C'} won by high card K
(2) {'8S', 'JH', 'TH', '9H', '7H'} won by straight
(2) {'8S', 'AC', '8H', '4S', '8D'} won by three
(2) {'2D', 'QS', 'JD', 'JC', '5C'} won by pair
(2) {'3C', 'QS', 'KS', '2H', 'AH'} won by high card A
(1) {'7C', 'JH', '7D', '4S', '9C'} won by pair
(2) {'KH', 'QS', 'QH', '9S', '5C'} won by pair
(1) {'JH', 'QH', 'JC', '6S', '9C'} won by pair
(2) {'3S', 'QS', '4S', '6S', '3D'} won by pair
(2) {'7S', 'TH', 'JC', 'AH', '6D'} won by high card A
(2) {'3H', 'AD', '4D', '6H', 'TS'} won by high card A
(1) {'3H', '2D', '7D', 'JD', '3D'} won by pair
(1) {'7S', '4H', '9H', '2C', '9C'} won by a higher pair K
(2) {'AD', 'KS', 'KC', '9S', '8D'} won by pair
(1) {'5H', 'QS', 'JD', 'QH', 'TS'} won by pair
(2) {'TH', 'QC', 'QD', 'AH', '7H'} won by pair
(2) {'9D', 'AS', 'JS', '8H', '9H'} won by a higher pair A
(2) {'KD', '5H', '5S', '9S', 'JC'} won by pair
(2) {'7C', '9D', 'AD', 'TD', 'AC'} won by pair
(1) {'8D', '4S', '4H', '6S', '9C'} won by pair
(1) {'5H', '5S', 'QH', '4S', 'JC'} won by a higher pair A
(1) {'AD', '5H', 'AS', 'QD', '8C'} won by pair
(2) {'QS', '2H', '4D', '6H', '2C'} won by pair
(2) {'9D', 'AD', 'AC', 'QD', '7H'} won by pair
(2) {'7S', 'KC', 'QH', '8D', '8C'} won by pair
(2) {'AD', '2D', 'QS', '2H', '6S'} won by pair
(1) {'2D', 'KH', '7D', 'JS', 'JC'} won by a higher pair A
(1) {'3S', 'AD', 'TD', '4S', 'TS'} won by pair
(2) {'9D', 'KH', 'AS', 'AC', '3D'} won by a higher pair A
(1) {'KD', 'KH', '8H', '4S', '6S'} won by a higher pair K
(1) {'JH', '5H', 'AS', 'KS', 'AH'} won by pair
(1) {'KD', 'KS', '7D', '5D', '6D'} won by a higher pair K
(2) {'3H', '4D', '4H', '2C', 'TS'} won by pair
(1) {'7C', '9D', 'KH', 'KS', '6H'} won by a higher pair K
(2) {'3H', 'TD', 'TH', '8H', '4H'} won by pair
(2) {'8S', 'KS', 'AC', '4H', '6H'} won by high card A
(2) {'6C', 'KH', 'AC', 'TS', '6D'} won by pair
(1) {'7C', 'JH', 'QS', '7D', 'QH'} won by 2 pair
(2) {'KS', '4H', '2C', '9C', '7H'} won by high card K
(2) {'3S', '3H', 'KC', 'QC', 'QD'} won by 2 pair
(2) {'9D', '5S', '7D', 'TS', '7H'} won by pair
(2) {'6C', 'TH', 'QD', '2C', 'TS'} won by a higher pair K
(2) {'8S', '5H', '2H', 'QH', '9C'} won by high card Q
(2) {'7C', '3H', 'KH', '5S', '2H'} won by high card K
(2) {'6C', '8S', '3C', '2S', '6S'} won by a higher pair J
(1) {'2D', 'KH', '4D', '8H', '4H'} won by pair
(2) {'KC', 'JD', '8D', '6H', '9C'} won by high card K
(2) {'8S', '5H', 'TD', 'TH', '8H'} won by 2 pair
(1) {'TD', '7S', 'QS', '7D', 'TS'} won by 2 pair
(2) {'TD', 'AS', 'AC', '4D', '2S'} won by pair
(1) {'6C', '4C', 'KS', '4S', 'AH'} won by pair
(2) {'KD', 'AC', '4D', '5D', '4S'} won by pair
(1) {'2D', 'KH', 'JS', '2C', 'TS'} won by pair
(2) {'7S', 'KH', 'AC', '9S', '6H'} won by high card A
(2) {'5H', '2H', '2S', '5D', '4H'} won by 2 pair
(1) {'5H', '2S', 'QD', 'JC', '2C'} won by pair
(2) {'9D', 'JH', '7D', '9S', '2C'} won by pair
(2) {'7C', '3H', 'TD', 'TH', 'TS'} won by three
(2) {'9D', '7D', '8D', 'AH', '9C'} won by pair
(1) {'QC', 'QD', 'JS', '5C', '6D'} won by pair
(2) {'8S', 'KC', '6H', 'AH', '6D'} won by pair
(1) {'7C', '7S', '4C', '5S', '3D'} won by a higher pair J
(1) {'3S', '7C', '5H', '3C', 'QH'} won by pair
(1) {'3S', '5H', '7S', 'QD', '7H'} won by pair
(1) {'KD', '4C', 'KH', '3C', '2S'} won by pair
(2) {'5H', '7S', '5S', 'QD', '4D'} won by pair
(2) {'9D', 'KD', '3C', 'KS', '6H'} won by pair
(1) {'7S', '4C', 'QS', '4D', 'TS'} won by pair
(2) {'9D', '8S', 'QS', '9H', '6H'} won by pair
(2) {'6C', '2D', 'TH', 'QH', '6S'} won by pair
(1) {'4C', 'AS', '5D', 'JS', '4H'} won by pair
(2) {'AD', '3C', 'AS', 'QS', '6H'} won by pair
(2) {'7C', 'AS', 'KH', 'JD', '9H'} won by high card A
(1) {'6C', '3H', '7S', '4D', '3D'} won by pair
(2) {'TH', '8D', '9H', '9S', '9C'} won by three
(2) {'3S', '2H', 'QD', '5D', '6S'} won by high card Q
(1) {'4C', 'QS', '4D', 'JD', '5C'} won by pair
(2) {'4C', 'KS', 'JD', '4H', '6D'} won by pair
(2) {'5H', 'JH', '2H', '2S', 'JS'} won by 2 pair
(1) {'5S', 'TH', '2H', '6S', 'TS'} won by a higher pair K
(2) {'JH', 'TD', '7D', 'JS', '6D'} won by pair
(2) {'JH', '7S', '2D', 'TH', 'JC'} won by a higher pair A
(2) {'KD', 'TC', 'JC', 'AH', '9C'} won by high card A
(2) {'KH', 'TH', 'QH', '9S', 'TS'} won by pair
(2) {'TC', '3H', 'TH', 'KC', '9C'} won by pair
(1) {'AS', '7D', '4D', '9H', '3D'} won by high card A
(2) {'8S', '2H', 'QD', '8D', 'TS'} won by pair
(2) {'3S', 'AC', 'QC', '2S', '6S'} won by high card A
(1) {'AD', 'AS', 'QS', '8H', 'JC'} won by a higher pair A
(1) {'TD', '2S', '9S', 'TS', '3D'} won by pair
(2) {'AD', 'JH', 'KH', 'TH', 'QD'} won by straight
(2) {'7C', 'JH', 'QS', '8D', 'JC'} won by pair
(2) {'3S', 'KS', '2S', 'QD', 'QH'} won by pair
(2) {'9D', 'TD', 'JD', 'QD', 'JS'} won by pair
(1) {'8S', '5H', 'KH', 'KS', '8H'} won by 2 pair
(2) {'6C', '8S', '5H', '7D', '9C'} won by straight
(2) {'3C', 'QS', '5S', 'KC', 'QH'} won by pair
(2) {'JH', 'AS', 'JD', '6H', '7H'} won by a higher pair A
(1) {'9D', 'KC', '8H', '9H', '5C'} won by a higher pair A
(2) {'7C', '5H', '5S', '6S', 'TS'} won by pair
(1) {'3S', 'TD', 'KC', '9S', '6D'} won by high card K
(1) {'KD', '9D', '5H', '8D', 'TS'} won by high card K
(2) {'TD', 'AS', 'QD', '9S', '9H'} won by pair
(2) {'TC', 'TD', '7D', 'QC', '9S'} won by a higher pair Q
(2) {'9D', '8S', '7D', 'JS', '9C'} won by a higher pair K
(1) {'6C', '3C', 'KC', '5D', '6D'} won by pair
(2) {'AD', 'KH', 'TH', '8H', '9H'} won by high card A
(1) {'AS', 'QC', '2S', 'JS', '5C'} won by high card A
(1) {'3S', '2S', 'QD', '8H', '8D'} won by pair
(1) {'8S', '3H', 'JD', 'JS', 'TS'} won by pair
(2) {'7C', '7D', '4H', 'JC', 'AH'} won by pair
(2) {'JH', 'KH', '5S', '9H', '2C'} won by high card K
(2) {'4C', 'AC', 'QC', 'JD', 'QD'} won by pair
(2) {'3S', '2D', 'AS', 'QS', 'KH'} won by high card A
(2) {'TD', 'TH', '4D', 'QH', '9S'} won by a higher pair Q
(1) {'3S', '4H', '6H', 'TS', '6D'} won by pair
(2) {'KH', '5D', 'JS', '6S', '6H'} won by pair
(2) {'KH', 'TH', 'QC', 'QD', 'AH'} won by pair
(1) {'5H', 'KH', '9S', '6S', '2C'} won by high card K
(2) {'7S', '4C', '2H', '4D', '7H'} won by 2 pair
(2) {'7C', 'TC', '5H', '7S', 'TS'} won by 2 pair
(1) {'4C', 'QC', '4S', '8D', 'TS'} won by pair
(1) {'3H', 'QS', '5D', '5C', '8C'} won by pair
(2) {'JH', '2D', 'KH', 'QD', 'JS'} won by a higher pair K
(1) {'QC', 'JD', '5D', '9H', '6S'} won by high card Q
(2) {'2D', '4H', '5C', '3D', '6D'} won by straight
(2) {'3S', 'TD', 'AD', 'QD', '9C'} won by high card A
(2) {'3C', 'AS', '7D', 'QD', '6D'} won by high card A
(2) {'5S', 'QC', 'JS', '4S', '5C'} won by pair
(2) {'JH', '5S', '7D', 'QD', 'JS'} won by pair
(2) {'AD', '5D', 'QH', '7H', '3D'} won by high card A
(2) {'7C', 'AD', '2D', 'KH', '5D'} won by high card A
(2) {'TD', 'KH', '2S', '5C', 'AH'} won by high card A
(2) {'7C', '6C', '2H', '2S', '9H'} won by pair
(1) {'KD', 'QS', 'QC', 'JS', 'TS'} won by pair
(2) {'3H', 'AD', '7S', '2H', '7D'} won by pair
(2) {'7C', '2H', '7D', '2S', '9H'} won by 2 pair
(2) {'6C', 'AD', '5H', 'AS', '8H'} won by pair
(1) {'6C', '7D', '2S', '7H', '6D'} won by 2 pair
(2) {'3S', 'KD', 'AD', 'KH', '4S'} won by a higher pair A
(2) {'KD', '5H', 'KH', 'KS', 'TS'} won by three
(2) {'AD', '7S', 'TD', 'KC', '7D'} won by a higher pair A
(1) {'8S', '5S', 'JS', '8H', 'JC'} won by 2 pair
(2) {'5H', 'KH', 'JS', 'QH', '8D'} won by high card K
(1) {'AD', 'TD', 'KS', '2S', '3D'} won by high card A
(2) {'TH', 'QD', 'QH', '9S', '5C'} won by pair
(2) {'6C', 'KS', 'KC', 'JD', 'JC'} won by 2 pair
(2) {'7S', '7D', 'QD', 'QH', 'TS'} won by 2 pair
(2) {'6C', '9D', 'QS', '8H', '9S'} won by a higher pair Q
(2) {'QS', 'TH', '4D', '6S', '6D'} won by pair
(2) {'7C', 'TC', 'TD', '4C', '7D'} won by 2 pair
(1) {'AS', '5S', '6S', 'AH', '7H'} won by pair
(1) {'8S', 'QS', 'KS', '8D', 'AH'} won by pair
(1) {'QS', '2H', '9S', '9H', '6H'} won by pair
(2) {'7S', 'TH', 'AC', '9S', '9H'} won by pair
(1) {'3H', 'KC', '4D', '6S', '7H'} won by high card K
(2) {'9D', 'JH', '7S', '4H', '7H'} won by pair
(2) {'2D', 'AS', '7D', '2S', '6D'} won by pair
(2) {'AD', 'KH', 'TH', 'KC', '9C'} won by a higher pair A
(1) {'TC', '9D', '4C', '9S', '2C'} won by pair
(2) {'QC', '8D', '6S', '6H', '8C'} won by 2 pair
(2) {'8S', '4C', '5S', 'QH', '8D'} won by pair
(2) {'7C', '8S', '2D', '2H', '3D'} won by pair
(1) {'6C', '8S', 'TH', '2H', '4H'} won by high card 10
(1) {'7C', '4C', '5C', '2C', '9C'} won by flush
(2) {'2H', '5D', '8D', '9S', '8C'} won by pair
(1) {'KD', 'AD', 'AC', '2H', 'QC'} won by pair
